Customer,PartNumber,ForecastDate,Quantity
Giant,MR-03-084-K,2026-04-01,31
Giant,MR-03-084-K,2026-05-01,37
Giant,MR-03-084-K,2026-06-01,62
Giant,MR-03-084-K,2026-07-01,88
Giant,MR-03-119-CS,2026-04-01,31
Giant,MR-03-119-CS,2026-05-01,150
Giant,MR-03-119-CS,2026-06-01,72
Giant,MR-03-119-CS,2026-07-01,84
Giant,MR-03-200-A,2026-04-01,132
Giant,MR-03-200-A,2026-05-01,66
Giant,MR-03-200-A,2026-06-01,38
Giant,MR-03-200-A,2026-07-01,53
Giant,MR-04-101-C,2026-04-01,68
Giant,MR-04-101-C,2026-05-01,40
Giant,MR-04-101-C,2026-06-01,147
Giant,MR-04-101-C,2026-07-01,96
Giant,MR-05-999-X,2026-04-01,84
Giant,MR-05-999-X,2026-05-01,23
Giant,MR-05-999-X,2026-06-01,80
Giant,MR-05-999-X,2026-07-01,128
