OrderNumber,OrderType,PartNumber,Division,DueDate,OpenQty
ORD-1000,PurchaseOrder,MR-04-101-C,US,2026-06-12,172
ORD-1001,SalesOrder,MR-03-119-CS,US,2026-06-14,113
ORD-1002,SalesOrder,MR-03-084-K,Taiwan,2026-06-12,244
ORD-1003,PurchaseOrder,MR-04-101-C,US,2026-06-13,23
ORD-1004,PurchaseOrder,MR-03-119-CS,Taiwan,2026-06-02,111
ORD-1005,SalesOrder,MR-03-200-A,Taiwan,2026-04-05,89
ORD-1006,SalesOrder,MR-05-999-X,Taiwan,2026-05-14,124
ORD-1007,SalesOrder,MR-03-119-CS,Taiwan,2026-04-13,206
ORD-1008,PurchaseOrder,MR-03-200-A,Taiwan,2026-06-04,124
ORD-1009,SalesOrder,MR-03-084-K,US,2026-04-14,29
ORD-1010,PurchaseOrder,MR-05-999-X,US,2026-05-09,27
ORD-1011,SalesOrder,MR-05-999-X,US,2026-06-21,194
ORD-1012,PurchaseOrder,MR-03-084-K,Taiwan,2026-06-06,166
ORD-1013,PurchaseOrder,MR-03-200-A,Taiwan,2026-05-07,215
ORD-1014,SalesOrder,MR-03-119-CS,Taiwan,2026-05-26,229
ORD-1015,PurchaseOrder,MR-05-999-X,US,2026-06-08,101
ORD-1016,SalesOrder,MR-03-119-CS,US,2026-04-04,84
ORD-1017,SalesOrder,MR-04-101-C,US,2026-04-09,262
ORD-1018,SalesOrder,MR-05-999-X,US,2026-06-05,58
ORD-1019,SalesOrder,MR-03-200-A,US,2026-04-05,86
